Pedal%, 0kmph, 10kmph, 20kmph, 30kmph, 40kmph, 50kmph, 60kmph, 70kmph, 80kmph, 90kmph, 100kmph, 110kmph, 120kmph, 130kmph
0%, -6, -21, -29, -28, -27, -25, -22, -26, -27, -23, -21, -17, -19, -19
10%, 12, -5, -15, -14, -11, -8, -7, -8, -6, -8, -7, -5, -4, -4
20%, 27, 15, 5, 7, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5
30%, 45, 38, 27, 24, 24, 23, 22, 21, 24, 23, 20, 18, 13, 13
40%, 68, 57, 50, 50, 48, 51, 49, 50, 42, 47, 42, 46, 42, 42
50%, 84, 78, 73, 74, 73, 73, 70, 65, 63, 71, 62, 55, 57, 57
60%, 97, 101, 95, 94, 98, 96, 99, 91, 92, 86, 81, 76, 71, 71
70%, 110, 110, 109, 112, 108, 111, 110, 108, 106, 101, 89, 81, 72, 72
80%, 118, 118, 117, 125, 122, 126, 119, 116, 113, 106, 89, 89, 76, 76
90%, 127, 126, 126, 129, 127, 129, 124, 122, 116, 107, 106, 89, 80, 80
100%, 130, 131, 131, 130, 131, 131, 131, 131, 121, 110, 98, 87, 78, 78